dpto_merger_str,circuito,PROV_REF_ID,ELECTORES,VOTANTES,CAMBIEMOS,UNIDAD CIUDADANA,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,VOTOS BLANCOS
lomas de zamora,0583,2,206753.0,146146.0,30975.0,79523.0,11433.0,6156.0,6951.0,5049.0
merlo,0652A,2,139025.0,106765.0,26215.0,54533.0,11849.0,5980.0,5662.0,3203.0
general pueyrredon,0364,2,135506.0,97139.0,42261.0,29383.0,10738.0,5178.0,4541.0,3834.0
general pueyrredon,0365,2,119503.0,85772.0,36660.0,27866.0,9344.0,4782.0,4321.0,3565.0
florencio varela,0302,2,117519.0,85593.0,27853.0,35716.0,7384.0,4622.0,4363.0,2818.0
la matanza,0635B,2,103042.0,84504.0,18178.0,47768.0,7049.0,4441.0,4455.0,2198.0
la matanza,0635,2,115904.0,81018.0,14361.0,44653.0,6002.0,3688.0,3925.0,2065.0
moron,0665,2,104918.0,79238.0,32114.0,27820.0,8676.0,5230.0,3811.0,1437.0
tandil,0933,2,104120.0,79939.0,41196.0,19975.0,8768.0,2847.0,2742.0,3512.0
la matanza,0635A,2,104593.0,75685.0,14856.0,42574.0,5439.0,3318.0,3695.0,1887.0
almirante brown,0019,2,96646.0,70248.0,21358.0,30495.0,7201.0,4533.0,4232.0,1974.0
lomas de zamora,0587,2,94739.0,71073.0,24905.0,29402.0,6467.0,3853.0,3182.0,1589.0
general pueyrredon,0366,2,88460.0,61737.0,41105.0,10420.0,4466.0,3223.0,1873.0,1123.0
moreno,0663C,2,83961.0,63884.0,15742.0,30870.0,7521.0,3267.0,3913.0,3065.0
tres de febrero,0391,2,82800.0,61354.0,28111.0,17845.0,7051.0,3963.0,3166.0,1209.0
jose c. paz,0398,2,83817.0,58784.0,18518.0,24657.0,5834.0,3207.0,2612.0,1976.0
jose c. paz,0398A,2,75172.0,58686.0,12622.0,32872.0,5223.0,2583.0,2549.0,2587.0
pilar,0768,2,77402.0,57569.0,24321.0,17791.0,5424.0,2524.0,2317.0,2308.0
general rodriguez,0374,2,75289.0,57042.0,20489.0,21088.0,6300.0,2251.0,2628.0,2609.0
malvinas argentinas,0399,2,71034.0,56275.0,14044.0,26540.0,6160.0,3052.0,2154.0,2417.0
junin,0444,2,71830.0,53840.0,27891.0,14626.0,5973.0,1977.0,2377.0,2144.0
general san martin,0388,2,69702.0,53893.0,17714.0,22077.0,6394.0,2883.0,4012.0,1568.0
general pueyrredon,0367,2,72537.0,52505.0,31336.0,10233.0,4469.0,3350.0,1864.0,1178.0
avellaneda,0040,2,70575.0,53401.0,22551.0,19010.0,5297.0,3254.0,2142.0,1032.0
pilar,0771,2,69503.0,53603.0,22005.0,19683.0,5564.0,2434.0,2259.0,1953.0
san isidro,0892,2,70061.0,52008.0,24161.0,14982.0,5211.0,2789.0,2080.0,1598.0
merlo,0653,2,68012.0,51371.0,11666.0,26636.0,5312.0,2746.0,2648.0,1555.0
lujan,0596,2,67007.0,51305.0,26156.0,13002.0,5288.0,2138.0,2632.0,2360.0
tigre,0530,2,66492.0,50426.0,18967.0,12303.0,11503.0,2457.0,1699.0,1526.0
merlo,0652,2,67675.0,48175.0,17641.0,17013.0,5471.0,3012.0,2400.0,978.0
la matanza,0626,2,71814.0,45892.0,20318.0,12860.0,4736.0,2808.0,1899.0,710.0
escobar,0773A,2,62928.0,46934.0,15295.0,19447.0,5826.0,2331.0,1855.0,2480.0
la matanza,0633,2,69041.0,45019.0,17041.0,15243.0,4898.0,2700.0,1966.0,848.0
jose c. paz,0398B,2,60317.0,47310.0,14124.0,21619.0,4804.0,2779.0,2093.0,1876.0
necochea,0686,2,62790.0,46108.0,26160.0,9212.0,5362.0,1646.0,1186.0,2316.0
lanus,0262,2,59378.0,46034.0,13125.0,23006.0,4204.0,2259.0,2195.0,1278.0
la matanza,0629A,2,61788.0,46007.0,10530.0,22345.0,3974.0,2417.0,2435.0,1156.0
general pueyrredon,0366A,2,60908.0,44456.0,23451.0,10346.0,4248.0,2940.0,1829.0,1123.0
ituzaingo,0667,2,58946.0,45085.0,20276.0,12727.0,4694.0,2838.0,1817.0,1218.0
ituzaingo,0666,2,55844.0,45459.0,16663.0,17360.0,5252.0,2427.0,2101.0,1499.0
lanus,0273,2,57619.0,44636.0,14672.0,20363.0,4033.0,2240.0,1996.0,1041.0
hurlingham,0668,2,60032.0,44107.0,19651.0,12890.0,4124.0,2820.0,1873.0,688.0
tigre,0534A,2,57983.0,44961.0,15436.0,12203.0,10499.0,2406.0,1357.0,1151.0
tigre,0535A,2,55862.0,44623.0,12555.0,14638.0,11254.0,2825.0,1645.0,1612.0
almirante brown,0021,2,54779.0,44235.0,13748.0,18628.0,5003.0,2859.0,2290.0,1339.0
general san martin,0377A,2,59951.0,41361.0,14635.0,15625.0,4709.0,2232.0,2730.0,1120.0
malvinas argentinas,0399F,2,53827.0,43577.0,17031.0,15817.0,4825.0,2739.0,1534.0,1461.0
avellaneda,0039,2,55825.0,42718.0,13756.0,19754.0,3718.0,2052.0,1511.0,854.0
chivilcoy,0211,2,53821.0,43075.0,14313.0,7855.0,4275.0,968.0,13550.0,2292.0
moreno,0663B,2,53572.0,42568.0,11214.0,19943.0,5134.0,2157.0,2863.0,1964.0
hurlingham,0668B,2,53128.0,42030.0,15510.0,16401.0,4854.0,2611.0,2178.0,941.0
tres de febrero,0394,2,51938.0,42058.0,16552.0,15313.0,4416.0,2342.0,2447.0,924.0
merlo,0655,2,53184.0,41088.0,16314.0,14655.0,4834.0,2995.0,1906.0,844.0
tres de febrero,0393,2,57622.0,39262.0,15153.0,14061.0,4216.0,2258.0,1795.0,869.0
almirante brown,0018A,2,52010.0,41241.0,9918.0,22215.0,3982.0,2023.0,2411.0,1243.0
la matanza,0635C,2,51734.0,40621.0,7578.0,26296.0,2989.0,1844.0,2062.0,1176.0
quilmes,0788A,2,53484.0,39751.0,11443.0,20067.0,3402.0,2201.0,2317.0,1382.0
escobar,0774,2,54607.0,40004.0,17855.0,11514.0,4045.0,1778.0,1517.0,2214.0
san miguel,0397,2,54508.0,39869.0,19875.0,10415.0,3707.0,2578.0,1610.0,791.0
almirante brown,0022A,2,53036.0,39953.0,12018.0,18066.0,4030.0,2356.0,2661.0,1162.0
general pueyrredon,0370,2,58193.0,37265.0,12635.0,15179.0,3729.0,1716.0,1888.0,1914.0
san isidro,0891,2,52951.0,40454.0,26273.0,5476.0,3117.0,2292.0,1191.0,747.0
la matanza,0628,2,50543.0,40968.0,23364.0,8782.0,3768.0,2982.0,1600.0,484.0
merlo,0655A,2,54370.0,38739.0,8754.0,20953.0,3916.0,1938.0,1965.0,1386.0
moreno,0663A,2,50816.0,39656.0,13664.0,14775.0,4535.0,2453.0,2298.0,1063.0
azul,0060,2,49881.0,37196.0,18614.0,9792.0,3982.0,1456.0,1439.0,2213.0
la plata,0501,2,49275.0,36919.0,19215.0,8354.0,3236.0,2416.0,1849.0,995.0
ezeiza,0289,2,47543.0,36833.0,14087.0,12727.0,4012.0,2095.0,1831.0,1233.0
tres de febrero,0395,2,49502.0,35355.0,15196.0,11294.0,3847.0,1804.0,1848.0,871.0
vicente lopez,1000,2,49753.0,35472.0,18552.0,7623.0,3785.0,2449.0,1360.0,416.0
general san martin,0381,2,46762.0,35219.0,12978.0,13164.0,3964.0,2056.0,2355.0,940.0
moron,0671,2,46952.0,34875.0,16537.0,10413.0,3706.0,2118.0,1581.0,581.0
tigre,0535,2,44297.0,35763.0,13694.0,9917.0,7309.0,2093.0,1183.0,1158.0
florencio varela,0302E,2,46766.0,34236.0,8820.0,16504.0,3360.0,1609.0,1947.0,2128.0
moreno,0663,2,49777.0,33408.0,13867.0,9749.0,3707.0,2002.0,1785.0,821.0
lanus,0274,2,44060.0,34759.0,14286.0,12844.0,3710.0,2017.0,1542.0,732.0
lomas de zamora,0590A,2,44633.0,34569.0,10920.0,15371.0,3511.0,2157.0,1904.0,831.0
la matanza,0631A,2,47031.0,34268.0,8666.0,16864.0,2721.0,1539.0,1638.0,830.0
vicente lopez,1001,2,44557.0,34456.0,21503.0,5921.0,2631.0,2187.0,1093.0,425.0
quilmes,0785B,2,44674.0,33395.0,14129.0,12477.0,3151.0,1968.0,1512.0,712.0
la plata,0502,2,44650.0,33840.0,16154.0,9496.0,2870.0,2058.0,1810.0,917.0
pilar,0770,2,46368.0,33584.0,10413.0,13071.0,3387.0,1401.0,1529.0,1613.0
tres arroyos,0964,2,44534.0,32527.0,14463.0,8556.0,5531.0,1236.0,851.0,2448.0
marcos paz,0624,2,43445.0,32613.0,10252.0,13636.0,3912.0,1448.0,2295.0,1394.0
moron,0673,2,43604.0,33081.0,13309.0,11227.0,3387.0,2087.0,1499.0,590.0
la matanza,0635E,2,41186.0,32697.0,5160.0,21139.0,2493.0,1258.0,1660.0,1129.0
berazategui,0789,2,45874.0,30335.0,8670.0,13772.0,3138.0,1688.0,1352.0,1266.0
la matanza,0635D,2,44796.0,31664.0,5159.0,18250.0,2162.0,1194.0,1619.0,1014.0
comuna 08,0089,1,47042.0,30148.0,14847.0,10935.0,,2084.0,,350.0
hurlingham,0668A,2,39819.0,31826.0,10015.0,14427.0,3253.0,1768.0,1735.0,895.0
comuna 08,0090,1,45901.0,30767.0,13760.0,10941.0,,1916.0,,328.0
san pedro,0913,2,40385.0,30755.0,17928.0,7005.0,2706.0,950.0,1157.0,2052.0
quilmes,0785,2,40952.0,30773.0,15833.0,7815.0,2687.0,2083.0,1185.0,476.0
la matanza,0626A,2,38942.0,31508.0,11417.0,12137.0,3424.0,2125.0,1599.0,488.0
florencio varela,0302A,2,39934.0,29647.0,6124.0,15972.0,2281.0,1213.0,2195.0,1738.0
la matanza,0629B,2,37316.0,30668.0,6697.0,16931.0,2628.0,1634.0,1620.0,877.0
lanus,0260,2,44068.0,27595.0,12578.0,7773.0,2925.0,1716.0,985.0,359.0
tigre,0536,2,38631.0,30266.0,8711.0,9372.0,7104.0,1536.0,1139.0,1193.0
san isidro,0893,2,39408.0,29264.0,16718.0,6281.0,2382.0,1204.0,831.0,896.0
chacabuco,0189,2,37375.0,29892.0,14121.0,9223.0,2338.0,961.0,1605.0,1160.0
avellaneda,0038,2,37898.0,29617.0,11901.0,11027.0,2713.0,1772.0,1042.0,504.0
almirante brown,0022,2,40771.0,27904.0,8197.0,11799.0,3035.0,1790.0,1534.0,961.0
la matanza,0631D,2,36937.0,29457.0,8293.0,14508.0,2941.0,1615.0,1483.0,694.0
lomas de zamora,0590,2,37796.0,28580.0,14159.0,7913.0,2908.0,2272.0,1297.0,389.0
moron,0669,2,37313.0,29226.0,15943.0,6558.0,2579.0,2078.0,1166.0,313.0
balcarce,0098,2,36937.0,28885.0,15899.0,5399.0,2559.0,684.0,2747.0,1568.0
bahia blanca,0076,2,36828.0,28346.0,13287.0,6679.0,2807.0,1718.0,2697.0,1289.0
malvinas argentinas,0399A,2,35958.0,29068.0,7980.0,13498.0,3186.0,1556.0,1012.0,1178.0
san nicolas,0901,2,36916.0,27790.0,15655.0,6277.0,2959.0,1176.0,1140.0,1158.0
la matanza,0630,2,35581.0,28619.0,14189.0,7442.0,3226.0,2085.0,1108.0,355.0
vicente lopez,0999,2,36781.0,28321.0,13387.0,7559.0,2903.0,1785.0,1214.0,461.0
san miguel,0397B,2,35048.0,28583.0,8110.0,13752.0,2413.0,1409.0,1251.0,1319.0
moron,0672,2,34767.0,28130.0,15254.0,6908.0,2812.0,1828.0,1076.0,321.0
san isidro,0892A,2,34715.0,28056.0,15077.0,6446.0,3018.0,1734.0,1156.0,629.0
general san martin,0377,2,35973.0,26406.0,13161.0,7639.0,3401.0,1539.0,1586.0,440.0
lanus,0261,2,34991.0,25958.0,10416.0,9731.0,2849.0,1721.0,1105.0,646.0
san miguel,0401A,2,33770.0,26719.0,15408.0,5995.0,2260.0,1423.0,913.0,552.0
la plata,0504,2,33056.0,26692.0,13317.0,6961.0,2008.0,1802.0,1597.0,698.0
almirante brown,0020,2,33819.0,26356.0,10357.0,8865.0,2738.0,1680.0,1364.0,583.0
san miguel,0397C,2,32421.0,25613.0,8189.0,11855.0,2253.0,1256.0,1204.0,1234.0
la matanza,0629,2,33344.0,25504.0,6810.0,12359.0,2350.0,1471.0,1297.0,582.0
nueve de julio,0696,2,32570.0,25394.0,14319.0,5656.0,2716.0,714.0,993.0,958.0
tigre,0534,2,34480.0,25231.0,10660.0,5701.0,4325.0,1028.0,755.0,744.0
ensenada,0491,2,31771.0,25491.0,8420.0,11360.0,2212.0,1594.0,923.0,938.0
quilmes,0788,2,33191.0,24429.0,5726.0,14103.0,1969.0,1145.0,1240.0,711.0
esteban echeverria,0288,2,36571.0,23899.0,11240.0,5767.0,2127.0,1437.0,873.0,454.0
florencio varela,0302C,2,31754.0,24885.0,7531.0,11621.0,2280.0,1483.0,1443.0,1044.0
almirante brown,0018,2,31342.0,24672.0,9203.0,9289.0,2500.0,1571.0,1441.0,521.0
trenque lauquen,0957,2,32463.0,23862.0,12399.0,6363.0,2726.0,656.0,849.0,1156.0
quilmes,0788C,2,32041.0,23418.0,5187.0,14483.0,1953.0,1068.0,1251.0,1024.0
bragado,0136,2,30953.0,23776.0,11804.0,7486.0,1631.0,666.0,1577.0,893.0
merlo,0654,2,31871.0,23861.0,5041.0,12637.0,2277.0,1061.0,1217.0,773.0
lanus,0276,2,30281.0,23946.0,12992.0,6252.0,2361.0,1513.0,878.0,358.0
general san martin,0378,2,33333.0,23001.0,9073.0,7353.0,2393.0,1397.0,1465.0,397.0
esteban echeverria,0286A,2,33769.0,23056.0,5233.0,11319.0,1934.0,951.0,963.0,1003.0
la matanza,0631,2,30142.0,23759.0,9238.0,9045.0,2672.0,1423.0,1091.0,372.0
ituzaingo,0666A,2,29848.0,24034.0,9167.0,8839.0,2528.0,1341.0,1212.0,770.0
malvinas argentinas,0399D,2,30042.0,23854.0,7786.0,9885.0,2803.0,1502.0,867.0,844.0
la matanza,0634,2,30150.0,23382.0,9182.0,8690.0,2939.0,1451.0,1094.0,436.0
moreno,0663D,2,32429.0,22143.0,4339.0,12047.0,2395.0,866.0,1596.0,1357.0
ezeiza,0290A,2,30762.0,22650.0,6524.0,10191.0,2391.0,1290.0,1156.0,1065.0
berazategui,0789A,2,29281.0,22681.0,6984.0,10767.0,2770.0,1378.0,975.0,1152.0
ezeiza,0290,2,31255.0,22862.0,6411.0,9366.0,2471.0,1249.0,1203.0,971.0
presidente peron,0304A,2,31054.0,23094.0,5054.0,9025.0,3553.0,1093.0,1310.0,1326.0
berisso,0513,2,29084.0,22776.0,9292.0,8259.0,2354.0,1480.0,1375.0,837.0
quilmes,0791B,2,31323.0,22222.0,8592.0,8148.0,2011.0,1195.0,1130.0,512.0
canuelas,0157,2,29214.0,23014.0,10551.0,7453.0,2148.0,970.0,944.0,593.0
malvinas argentinas,0399B,2,29079.0,22584.0,6873.0,9532.0,2629.0,1397.0,788.0,713.0
moreno,0664B,2,28288.0,22625.0,5668.0,10222.0,2780.0,1209.0,1462.0,1085.0
general san martin,0376,2,32672.0,20727.0,10031.0,4732.0,2301.0,1373.0,1161.0,332.0
la plata,0496,2,29338.0,20823.0,10974.0,6326.0,2147.0,1630.0,1180.0,680.0
quilmes,0788B,2,28806.0,22081.0,7027.0,9866.0,2054.0,1167.0,1157.0,729.0
chascomus,0201,2,28437.0,21890.0,11394.0,5058.0,2710.0,713.0,618.0,1759.0
pehuajo,0734,2,28563.0,21639.0,10037.0,7644.0,2188.0,563.0,714.0,1024.0
comuna 06,0071,1,31148.0,22159.0,12920.0,4484.0,,1453.0,,168.0
pilar,0772,2,28024.0,22193.0,9745.0,7407.0,2250.0,796.0,888.0,867.0
san vicente,0925,2,29662.0,20983.0,6661.0,8047.0,2767.0,744.0,974.0,2141.0
quilmes,0787A,2,30053.0,21214.0,11139.0,4871.0,1702.0,1421.0,752.0,280.0
moreno,0664A,2,28094.0,21643.0,6230.0,9483.0,2511.0,1120.0,1374.0,916.0
quilmes,0791A,2,28782.0,20931.0,6926.0,9331.0,2231.0,1242.0,1134.0,594.0
la plata,0495,2,28320.0,21526.0,11804.0,4532.0,1685.0,1572.0,941.0,467.0
lanus,0275,2,27031.0,21532.0,10206.0,6645.0,2348.0,1377.0,875.0,321.0
esteban echeverria,0288B,2,28116.0,21351.0,6212.0,9450.0,1936.0,1215.0,928.0,742.0
comuna 06,0069,1,29298.0,22582.0,12476.0,4050.0,,1249.0,,175.0
villa gesell,0344,2,29546.0,19902.0,8637.0,6006.0,2306.0,795.0,881.0,749.0
almirante brown,0020A,2,26498.0,20796.0,5336.0,10403.0,2423.0,1159.0,1245.0,589.0
la plata,0504A,2,27109.0,20925.0,10979.0,4803.0,1418.0,1381.0,1222.0,511.0
vicente lopez,0993,2,26666.0,20763.0,14545.0,2699.0,1366.0,1177.0,578.0,200.0
bahia blanca,0085,2,26457.0,20660.0,11817.0,3674.0,1605.0,1386.0,1562.0,633.0
general alvarado,0305,2,26884.0,20160.0,9039.0,4736.0,4083.0,717.0,647.0,1045.0
lanus,0265,2,25685.0,20748.0,8212.0,7746.0,2022.0,1301.0,933.0,362.0
comuna 13,0138,1,29015.0,19660.0,13597.0,3103.0,,1085.0,,189.0
bolivar,0125,2,25798.0,20638.0,8908.0,2319.0,910.0,411.0,6397.0,1246.0
vicente lopez,0996,2,25852.0,20323.0,13056.0,3253.0,1766.0,1430.0,688.0,235.0
san isidro,0889,2,26021.0,20201.0,11545.0,4506.0,2005.0,1009.0,694.0,590.0
san miguel,0402,2,25636.0,20555.0,8081.0,8075.0,1580.0,903.0,761.0,903.0
mercedes,0638,2,25641.0,20311.0,11735.0,4325.0,1754.0,851.0,881.0,470.0
lincoln,0554,2,26049.0,19461.0,10338.0,4911.0,1888.0,613.0,1345.0,813.0
comuna 08,0087,1,30070.0,17844.0,7403.0,8395.0,,1455.0,,215.0
san miguel,0400,2,25075.0,19860.0,10666.0,4867.0,1818.0,1235.0,802.0,424.0
comuna 07,0086,1,28702.0,19750.0,7005.0,7176.0,,1449.0,,225.0
almirante brown,0017,2,25333.0,19025.0,12108.0,3653.0,1369.0,1148.0,717.0,256.0
bahia blanca,0073,2,29580.0,17484.0,8892.0,3095.0,1320.0,960.0,1242.0,487.0
florencio varela,0303B,2,24872.0,18480.0,4706.0,9235.0,1831.0,804.0,1243.0,1356.0
lobos,0574,2,24017.0,19048.0,10283.0,4608.0,1691.0,778.0,1118.0,651.0
saladillo,0846,2,24557.0,18769.0,11146.0,4346.0,1520.0,501.0,513.0,724.0
quilmes,0784,2,24387.0,18955.0,9939.0,4807.0,1688.0,1161.0,739.0,297.0
zarate,1014,2,24712.0,17498.0,6520.0,8246.0,2331.0,772.0,685.0,962.0
salto,0854,2,24708.0,17871.0,8477.0,5252.0,1827.0,626.0,1410.0,1448.0
comuna 06,0070,1,26172.0,19640.0,9639.0,4270.0,,1289.0,,153.0
baradero,0105,2,23565.0,18245.0,8193.0,4825.0,2302.0,659.0,862.0,1754.0
comuna 14,0151,1,26530.0,17279.0,13766.0,1985.0,,644.0,,138.0
dolores,0282,2,23773.0,18146.0,10305.0,4259.0,1742.0,448.0,851.0,817.0
moreno,0664,2,24111.0,18327.0,6304.0,6859.0,2064.0,986.0,979.0,595.0
comuna 14,0154,1,27502.0,16726.0,10847.0,3794.0,,1190.0,,155.0
bahia blanca,0086,2,23463.0,18314.0,9971.0,3436.0,1617.0,1182.0,1498.0,618.0
bartolome mitre,0117,2,23081.0,18090.0,8969.0,4880.0,1963.0,403.0,1220.0,1085.0
comuna 14,0149,1,25430.0,17616.0,13069.0,1902.0,,626.0,,98.0
san vicente,0924,2,22972.0,17777.0,6840.0,5225.0,2583.0,577.0,1169.0,1503.0
comuna 12,0129,1,25359.0,17620.0,10464.0,3876.0,,1112.0,,146.0
lomas de zamora,0593,2,23563.0,17337.0,6724.0,6509.0,1930.0,1055.0,937.0,421.0
florencio varela,0302B,2,23217.0,17680.0,4005.0,8833.0,1526.0,839.0,991.0,1116.0
coronel suarez,0252,2,22549.0,17735.0,7958.0,3641.0,2665.0,754.0,456.0,2223.0
esteban echeverria,0287,2,22438.0,17305.0,4961.0,8556.0,1852.0,1047.0,834.0,685.0
san miguel,0397A,2,22141.0,17660.0,6782.0,6892.0,1719.0,1044.0,798.0,582.0
avellaneda,0027,2,23759.0,17091.0,4198.0,8926.0,1554.0,734.0,657.0,393.0
comuna 13,0142,1,24717.0,16675.0,13827.0,1377.0,,526.0,,129.0
escobar,0773,2,22721.0,17040.0,6614.0,6061.0,2068.0,884.0,768.0,1063.0
general san martin,0379,2,22140.0,17544.0,7733.0,5216.0,2021.0,1113.0,976.0,353.0
lanus,0263,2,23659.0,16666.0,7002.0,5531.0,1732.0,1110.0,719.0,297.0
comuna 06,0074,1,23632.0,18318.0,10297.0,3215.0,,933.0,,129.0
berisso,0512,2,22276.0,17016.0,7427.0,5710.0,1564.0,962.0,977.0,555.0
